From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length
Q9NUP9	Q9NUP9	reviewed	LIN7C_HUMAN	Protein lin-7 homolog C (Lin-7C) (Mammalian lin-seven protein 3) (MALS-3) (Vertebrate lin-7 homolog 3) (Veli-3)	LIN7C MALS3 VELI3	Homo sapiens (Human)	197
Q9NUQ2	Q9NUQ2	reviewed	PLCE_HUMAN	1-acyl-sn-glycerol-3-phosphate acyltransferase epsilon (EC 2.3.1.51) (1-acylglycerol-3-phosphate O-acyltransferase 5) (1-AGP acyltransferase 5) (1-AGPAT 5) (Lysophosphatidic acid acyltransferase epsilon) (LPAAT-epsilon)	AGPAT5	Homo sapiens (Human)	364
Q9NUQ3	Q9NUQ3	reviewed	TXLNG_HUMAN	Gamma-taxilin (Environmental lipopolysaccharide-responding gene protein) (Factor inhibiting ATF4-mediated transcription) (FIAT) (Lipopolysaccharide-specific response protein 5)	TXLNG CXorf15 ELRG LSR5	Homo sapiens (Human)	528
Q9NUQ6	Q9NUQ6	reviewed	SPS2L_HUMAN	SPATS2-like protein (DNA polymerase-transactivated protein 6) (Stress granule and nucleolar protein) (SGNP)	SPATS2L DNAPTP6 SP1224	Homo sapiens (Human)	558
Q9NUQ7	Q9NUQ7	reviewed	UFSP2_HUMAN	Ufm1-specific protease 2 (UfSP2) (EC 3.4.22.-)	UFSP2 C4orf20	Homo sapiens (Human)	469
Q9NUQ8	Q9NUQ8	reviewed	ABCF3_HUMAN	ATP-binding cassette sub-family F member 3	ABCF3	Homo sapiens (Human)	709
Q9NUQ9	Q9NUQ9	reviewed	CYRIB_HUMAN	CYFIP-related Rac1 interactor B (L1)	CYRIB CYRI FAM49B BM-009	Homo sapiens (Human)	324
Q9NUS5	Q9NUS5	reviewed	AP5S1_HUMAN	AP-5 complex subunit sigma-1 (Adaptor-related protein complex 5 sigma subunit) (Sigma5)	AP5S1 C20orf29	Homo sapiens (Human)	200
Q9NUT2	Q9NUT2	reviewed	MITOS_HUMAN	Mitochondrial potassium channel ATP-binding subunit (ATP-binding cassette sub-family B member 8, mitochondrial) (ABCB8) (Mitochondrial ATP-binding cassette 1) (M-ABC1) (Mitochondrial sulfonylurea-receptor) (MITOSUR)	ABCB8 MABC1 MITOSUR	Homo sapiens (Human)	735
Q9NUU6	Q9NUU6	reviewed	OTULL_HUMAN	Inactive ubiquitin thioesterase OTULINL	OTULINL FAM105A	Homo sapiens (Human)	356
Q9NUU7	Q9NUU7	reviewed	DD19A_HUMAN	ATP-dependent RNA helicase DDX19A (EC 3.6.4.13) (DDX19-like protein) (DEAD box protein 19A)	DDX19A DDX19L	Homo sapiens (Human)	478
Q9NUW8	Q9NUW8	reviewed	TYDP1_HUMAN	Tyrosyl-DNA phosphodiesterase 1 (Tyr-DNA phosphodiesterase 1) (EC 3.1.4.-)	TDP1	Homo sapiens (Human)	608
Q9NUX5	Q9NUX5	reviewed	POTE1_HUMAN	Protection of telomeres protein 1 (hPot1) (POT1-like telomere end-binding protein)	POT1	Homo sapiens (Human)	634
Q9NUY8	Q9NUY8	reviewed	TBC23_HUMAN	TBC1 domain family member 23 (HCV non-structural protein 4A-transactivated protein 1)	TBC1D23 NS4ATP1	Homo sapiens (Human)	699
Q9NV06	Q9NV06	reviewed	DCA13_HUMAN	DDB1- and CUL4-associated factor 13 (WD repeat and SOF domain-containing protein 1)	DCAF13 WDSOF1 HSPC064	Homo sapiens (Human)	445
Q9NV31	Q9NV31	reviewed	IMP3_HUMAN	U3 small nucleolar ribonucleoprotein protein IMP3 (U3 snoRNP protein IMP3) (BRMS2)	IMP3 C15orf12 MRPS4	Homo sapiens (Human)	184
Q9NV35	Q9NV35	reviewed	NUD15_HUMAN	Nucleotide triphosphate diphosphatase NUDT15 (EC 3.6.1.9) (MutT homolog 2) (MTH2) (Nucleoside diphosphate-linked moiety X motif 15) (Nudix motif 15) (Nucleoside diphosphate-linked to another moiety X hydrolase 15) (Nudix hydrolase 15)	NUDT15 MTH2	Homo sapiens (Human)	164
Q9NV56	Q9NV56	reviewed	MRGBP_HUMAN	MRG/MORF4L-binding protein (MRG-binding protein) (Up-regulated in colon cancer 4) (Urcc4)	MRGBP C20orf20	Homo sapiens (Human)	204
Q9NV58	Q9NV58	reviewed	RN19A_HUMAN	E3 ubiquitin-protein ligase RNF19A (EC 2.3.2.31) (Double ring-finger protein) (Dorfin) (RING finger protein 19A) (p38)	RNF19A RNF19	Homo sapiens (Human)	838
Q9NV64	Q9NV64	reviewed	TM39A_HUMAN	Transmembrane protein 39A	TMEM39A SUSR2	Homo sapiens (Human)	488
Q9NV66	Q9NV66	reviewed	TYW1_HUMAN	S-adenosyl-L-methionine-dependent tRNA 4-demethylwyosine synthase TYW1 (EC 4.1.3.44) (Radical S-adenosyl methionine and flavodoxin domain-containing protein 1) (tRNA wybutosine-synthesizing protein 1 homolog) (tRNA-yW-synthesizing protein)	TYW1 RSAFD1	Homo sapiens (Human)	732
Q9NV70	Q9NV70	reviewed	EXOC1_HUMAN	Exocyst complex component 1 (Exocyst complex component Sec3)	EXOC1 SEC3 SEC3L1 BM-012	Homo sapiens (Human)	894
Q9NV88	Q9NV88	reviewed	INT9_HUMAN	Integrator complex subunit 9 (Int9) (Protein related to CPSF subunits of 74 kDa) (RC-74)	INTS9 RC74	Homo sapiens (Human)	658
Q9NV92	Q9NV92	reviewed	NFIP2_HUMAN	NEDD4 family-interacting protein 2 (NEDD4 WW domain-binding protein 5A) (Putative MAPK-activating protein PM04/PM05/PM06/PM07) (Putative NF-kappa-B-activating protein 413)	NDFIP2 KIAA1165 N4WBP5A	Homo sapiens (Human)	336
Q9NV96	Q9NV96	reviewed	CC50A_HUMAN	Cell cycle control protein 50A (P4-ATPase flippase complex beta subunit TMEM30A) (Transmembrane protein 30A)	TMEM30A C6orf67 CDC50A	Homo sapiens (Human)	361
Q9NVA1	Q9NVA1	reviewed	UQCC1_HUMAN	Ubiquinol-cytochrome c reductase complex assembly factor 1 (Basic FGF-repressed Zic-binding protein) (bFGF-repressed Zic-binding protein) (bFZb) (Ubiquinol-cytochrome c reductase complex chaperone CBP3 homolog)	UQCC1 BZFB C20orf44 UQCC	Homo sapiens (Human)	299
Q9NVA2	Q9NVA2	reviewed	SEP11_HUMAN	Septin-11	SEPTIN11 SEPT11	Homo sapiens (Human)	429
Q9NVA4	Q9NVA4	reviewed	T184C_HUMAN	Transmembrane protein 184C (Transmembrane protein 34)	TMEM184C TMEM34 PRO1355	Homo sapiens (Human)	438
Q9NVC3	Q9NVC3	reviewed	S38A7_HUMAN	Sodium-coupled neutral amino acid transporter 7 (Solute carrier family 38 member 7)	SLC38A7 SNAT7	Homo sapiens (Human)	462
Q9NVC6	Q9NVC6	reviewed	MED17_HUMAN	Mediator of RNA polymerase II transcription subunit 17 (Activator-recruited cofactor 77 kDa component) (ARC77) (Cofactor required for Sp1 transcriptional activation subunit 6) (CRSP complex subunit 6) (Mediator complex subunit 17) (Thyroid hormone receptor-associated protein complex 80 kDa component) (Trap80) (Transcriptional coactivator CRSP77) (Vitamin D3 receptor-interacting protein complex 80 kDa component) (DRIP80)	MED17 ARC77 CRSP6 DRIP77 DRIP80 TRAP80	Homo sapiens (Human)	651
Q9NVD7	Q9NVD7	reviewed	PARVA_HUMAN	Alpha-parvin (Actopaxin) (CH-ILKBP) (Calponin-like integrin-linked kinase-binding protein) (Matrix-remodeling-associated protein 2)	PARVA MXRA2	Homo sapiens (Human)	372
Q9NVE5	Q9NVE5	reviewed	UBP40_HUMAN	Ubiquitin carboxyl-terminal hydrolase 40 (EC 3.4.19.12) (Deubiquitinating enzyme 40) (Ubiquitin thioesterase 40) (Ubiquitin-specific-processing protease 40)	USP40	Homo sapiens (Human)	1235
Q9NVE7	Q9NVE7	reviewed	PANK4_HUMAN	4'-phosphopantetheine phosphatase (EC 3.1.3.-) (Inactive pantothenic acid kinase 4) (hPanK4)	PANK4	Homo sapiens (Human)	773
Q9NVF7	Q9NVF7	reviewed	FBX28_HUMAN	F-box only protein 28	FBXO28 CENP-30 KIAA0483	Homo sapiens (Human)	368
Q9NVF9	Q9NVF9	reviewed	EKI2_HUMAN	Ethanolamine kinase 2 (EKI 2) (EC 2.7.1.82) (Ethanolamine kinase-like protein)	ETNK2 EKI2 HMFT1716	Homo sapiens (Human)	386
Q9NVG8	Q9NVG8	reviewed	TBC13_HUMAN	TBC1 domain family member 13	TBC1D13	Homo sapiens (Human)	400
Q9NVH0	Q9NVH0	reviewed	EXD2_HUMAN	Exonuclease 3'-5' domain-containing protein 2 (EC 3.1.11.1) (3'-5' exoribonuclease EXD2) (EC 3.1.13.-) (Exonuclease 3'-5' domain-like-containing protein 2)	EXD2 C14orf114 EXDL2	Homo sapiens (Human)	621
Q9NVH1	Q9NVH1	reviewed	DJC11_HUMAN	DnaJ homolog subfamily C member 11	DNAJC11	Homo sapiens (Human)	559
Q9NVH2	Q9NVH2	reviewed	INT7_HUMAN	Integrator complex subunit 7 (Int7)	INTS7 C1orf73	Homo sapiens (Human)	962
Q9NVH6	Q9NVH6	reviewed	TMLH_HUMAN	Trimethyllysine dioxygenase, mitochondrial (EC 1.14.11.8) (Epsilon-trimethyllysine 2-oxoglutarate dioxygenase) (Epsilon-trimethyllysine hydroxylase) (TML hydroxylase) (TML-alpha-ketoglutarate dioxygenase) (TML dioxygenase) (TMLD)	TMLHE TMLH	Homo sapiens (Human)	421
Q9NVI1	Q9NVI1	reviewed	FANCI_HUMAN	Fanconi anemia group I protein (Protein FACI)	FANCI KIAA1794	Homo sapiens (Human)	1328
Q9NVI7	Q9NVI7	reviewed	ATD3A_HUMAN	ATPase family AAA domain-containing protein 3A (EC 3.6.1.-)	ATAD3A	Homo sapiens (Human)	586
Q9NVJ2	Q9NVJ2	reviewed	ARL8B_HUMAN	ADP-ribosylation factor-like protein 8B (EC 3.6.5.2) (ADP-ribosylation factor-like protein 10C) (Novel small G protein indispensable for equal chromosome segregation 1)	ARL8B ARL10C GIE1	Homo sapiens (Human)	186
Q9NVK5	Q9NVK5	reviewed	FGOP2_HUMAN	FGFR1 oncogene partner 2	FGFR1OP2 HSPC123	Homo sapiens (Human)	253
Q9NVM4	Q9NVM4	reviewed	ANM7_HUMAN	Protein arginine N-methyltransferase 7 (EC 2.1.1.321) (Histone-arginine N-methyltransferase PRMT7) ([Myelin basic protein]-arginine N-methyltransferase PRMT7)	PRMT7 KIAA1933	Homo sapiens (Human)	692
Q9NVM6	Q9NVM6	reviewed	DJC17_HUMAN	DnaJ homolog subfamily C member 17	DNAJC17	Homo sapiens (Human)	304
Q9NVM9	Q9NVM9	reviewed	INT13_HUMAN	Integrator complex subunit 13 (Cell cycle regulator Mat89Bb homolog) (Germ cell tumor 1) (Protein asunder homolog) (Sarcoma antigen NY-SAR-95)	INTS13 ASUN C12orf11 GCT1	Homo sapiens (Human)	706
Q9NVN3	Q9NVN3	reviewed	RIC8B_HUMAN	Chaperone Ric-8B (Brain synembryn) (hSyn) (Synembryn-B)	RIC8B	Homo sapiens (Human)	520
Q9NVN8	Q9NVN8	reviewed	GNL3L_HUMAN	Guanine nucleotide-binding protein-like 3-like protein	GNL3L	Homo sapiens (Human)	582
Q9NVP1	Q9NVP1	reviewed	DDX18_HUMAN	ATP-dependent RNA helicase DDX18 (EC 3.6.4.13) (DEAD box protein 18) (Myc-regulated DEAD box protein) (MrDb)	DDX18 cPERP-D	Homo sapiens (Human)	670
Q9NVP2	Q9NVP2	reviewed	ASF1B_HUMAN	Histone chaperone ASF1B (Anti-silencing function protein 1 homolog B) (hAsf1) (hAsf1b) (CCG1-interacting factor A-II) (CIA-II) (hCIA-II)	ASF1B	Homo sapiens (Human)	202
Q9NVQ4	Q9NVQ4	reviewed	FAIM1_HUMAN	Fas apoptotic inhibitory molecule 1	FAIM FAIM1	Homo sapiens (Human)	179
Q9NVR0	Q9NVR0	reviewed	KLH11_HUMAN	Kelch-like protein 11	KLHL11	Homo sapiens (Human)	708
Q9NVR2	Q9NVR2	reviewed	INT10_HUMAN	Integrator complex subunit 10 (Int10)	INTS10 C8orf35	Homo sapiens (Human)	710
Q9NVR5	Q9NVR5	reviewed	KTU_HUMAN	Protein kintoun (Dynein assembly factor 2, axonemal)	DNAAF2 C14orf104 KTU	Homo sapiens (Human)	837
Q9NVR7	Q9NVR7	reviewed	TBCC1_HUMAN	TBCC domain-containing protein 1	TBCCD1	Homo sapiens (Human)	557
Q9NVS2	Q9NVS2	reviewed	RT18A_HUMAN	Large ribosomal subunit protein mL66 (39S ribosomal protein S18-3, mitochondrial) (MRP-S18-3) (39S ribosomal protein S18a, mitochondrial) (MRP-S18-a) (Mrps18a) (S18mt-a) (Large ribosomal subunit protein bS18a)	MRPS18A	Homo sapiens (Human)	196
Q9NVS9	Q9NVS9	reviewed	PNPO_HUMAN	Pyridoxine-5'-phosphate oxidase (EC 1.4.3.5) (Pyridoxamine-phosphate oxidase)	PNPO	Homo sapiens (Human)	261
Q9NVT9	Q9NVT9	reviewed	ARMC1_HUMAN	Armadillo repeat-containing protein 1	ARMC1 ARCP	Homo sapiens (Human)	282
Q9NVU0	Q9NVU0	reviewed	RPC5_HUMAN	DNA-directed RNA polymerase III subunit RPC5 (RNA polymerase III subunit C5) (DNA-directed RNA polymerase III 80 kDa polypeptide)	POLR3E KIAA1452	Homo sapiens (Human)	708
Q9NVU7	Q9NVU7	reviewed	SDA1_HUMAN	Protein SDA1 homolog (Nucleolar protein 130) (SDA1 domain-containing protein 1) (hSDA)	SDAD1 NUC130	Homo sapiens (Human)	687
Q9NVV0	Q9NVV0	reviewed	TM38B_HUMAN	Trimeric intracellular cation channel type B (TRIC-B) (TRICB) (Transmembrane protein 38B)	TMEM38B C9orf87 TRICB	Homo sapiens (Human)	291
Q9NVV4	Q9NVV4	reviewed	PAPD1_HUMAN	Poly(A) RNA polymerase, mitochondrial (PAP) (EC 2.7.7.19) (PAP-associated domain-containing protein 1) (Polynucleotide adenylyltransferase) (Terminal uridylyltransferase 1) (TUTase 1) (mtPAP)	MTPAP PAPD1	Homo sapiens (Human)	582
Q9NVV5	Q9NVV5	reviewed	AIG1_HUMAN	Androgen-induced gene 1 protein (AIG-1) (Fatty acid esters of hydroxy fatty acids hydrolase AIG1) (FAHFA hydrolase AIG1) (EC 3.1.-.-)	AIG1 CGI-103	Homo sapiens (Human)	238
Q9NVW2	Q9NVW2	reviewed	RNF12_HUMAN	E3 ubiquitin-protein ligase RLIM (EC 2.3.2.27) (LIM domain-interacting RING finger protein) (RING finger LIM domain-binding protein) (R-LIM) (RING finger protein 12) (RING-type E3 ubiquitin transferase RLIM) (Renal carcinoma antigen NY-REN-43)	RLIM RNF12	Homo sapiens (Human)	624
Q9NVX0	Q9NVX0	reviewed	HAUS2_HUMAN	HAUS augmin-like complex subunit 2 (Centrosomal protein of 27 kDa) (Cep27)	HAUS2 C15orf25 CEP27	Homo sapiens (Human)	235
Q9NVX2	Q9NVX2	reviewed	NLE1_HUMAN	Notchless protein homolog 1	NLE1 HUSSY-07	Homo sapiens (Human)	485
Q9NVX7	Q9NVX7	reviewed	KBTB4_HUMAN	Kelch repeat and BTB domain-containing protein 4 (BTB and kelch domain-containing protein 4)	KBTBD4 BKLHD4	Homo sapiens (Human)	534
Q9NVZ3	Q9NVZ3	reviewed	NECP2_HUMAN	Adaptin ear-binding coat-associated protein 2 (NECAP endocytosis-associated protein 2) (NECAP-2)	NECAP2	Homo sapiens (Human)	263
Q9NW08	Q9NW08	reviewed	RPC2_HUMAN	DNA-directed RNA polymerase III subunit RPC2 (RNA polymerase III subunit C2) (EC 2.7.7.6) (C128) (DNA-directed RNA polymerase III 127.6 kDa polypeptide) (DNA-directed RNA polymerase III subunit B)	POLR3B	Homo sapiens (Human)	1133
Q9NW13	Q9NW13	reviewed	RBM28_HUMAN	RNA-binding protein 28 (RNA-binding motif protein 28)	RBM28	Homo sapiens (Human)	759
Q9NW15	Q9NW15	reviewed	ANO10_HUMAN	Anoctamin-10 (Transmembrane protein 16K)	ANO10 TMEM16K	Homo sapiens (Human)	660
Q9NW38	Q9NW38	reviewed	FANCL_HUMAN	E3 ubiquitin-protein ligase FANCL (EC 2.3.2.27) (Fanconi anemia group L protein) (Fanconi anemia-associated polypeptide of 43 kDa) (FAAP43) (RING-type E3 ubiquitin transferase FANCL)	FANCL PHF9	Homo sapiens (Human)	375
Q9NW64	Q9NW64	reviewed	RBM22_HUMAN	Pre-mRNA-splicing factor RBM22 (RNA-binding motif protein 22) (Zinc finger CCCH domain-containing protein 16)	RBM22 ZC3H16 199G4	Homo sapiens (Human)	420
Q9NW68	Q9NW68	reviewed	BSDC1_HUMAN	BSD domain-containing protein 1	BSDC1 UNQ2494/PRO5781	Homo sapiens (Human)	430
Q9NW75	Q9NW75	reviewed	GPTC2_HUMAN	G patch domain-containing protein 2	GPATCH2 GPATC2	Homo sapiens (Human)	528
Q9NW81	Q9NW81	reviewed	DMAC2_HUMAN	Distal membrane-arm assembly complex protein 2 (ATP synthase subunit s-like protein)	DMAC2 ATP5SL	Homo sapiens (Human)	257
Q9NW82	Q9NW82	reviewed	WDR70_HUMAN	WD repeat-containing protein 70	WDR70	Homo sapiens (Human)	654
Q9NW97	Q9NW97	reviewed	TMM51_HUMAN	Transmembrane protein 51	TMEM51 C1orf72	Homo sapiens (Human)	253
Q9NWA0	Q9NWA0	reviewed	MED9_HUMAN	Mediator of RNA polymerase II transcription subunit 9 (Mediator complex subunit 9)	MED9 MED25	Homo sapiens (Human)	146
Q9NWB6	Q9NWB6	reviewed	ARGL1_HUMAN	Arginine and glutamate-rich protein 1	ARGLU1	Homo sapiens (Human)	273
Q9NWD8	Q9NWD8	reviewed	TM248_HUMAN	Transmembrane protein 248	TMEM248 C7orf42	Homo sapiens (Human)	314
Q9NWH9	Q9NWH9	reviewed	SLTM_HUMAN	SAFB-like transcription modulator (Modulator of estrogen-induced transcription)	SLTM MET	Homo sapiens (Human)	1034
Q9NWK9	Q9NWK9	reviewed	BCD1_HUMAN	Box C/D snoRNA protein 1 (Serologically defined breast cancer antigen NY-BR-75) (Zinc finger HIT domain-containing protein 6)	ZNHIT6 BCD1 C1orf181	Homo sapiens (Human)	470
Q9NWM0	Q9NWM0	reviewed	SMOX_HUMAN	Spermine oxidase (EC 1.5.3.16) (Polyamine oxidase 1) (PAO-1) (PAOh1)	SMOX C20orf16 SMO UNQ3039/PRO9854	Homo sapiens (Human)	555
Q9NWM8	Q9NWM8	reviewed	FKB14_HUMAN	Peptidyl-prolyl cis-trans isomerase FKBP14 (PPIase FKBP14) (EC 5.2.1.8) (22 kDa FK506-binding protein) (22 kDa FKBP) (FKBP-22) (FK506-binding protein 14) (FKBP-14) (Rotamase)	FKBP14 FKBP22 UNQ322/PRO381	Homo sapiens (Human)	211
Q9NWQ4	Q9NWQ4	reviewed	GPT2L_HUMAN	G patch domain-containing protein 2-like	GPATCH2L C14orf118 KIAA1152	Homo sapiens (Human)	482
Q9NWQ9	Q9NWQ9	reviewed	CN119_HUMAN	Uncharacterized protein C14orf119	C14orf119 My028	Homo sapiens (Human)	140
Q9NWR8	Q9NWR8	reviewed	MCUB_HUMAN	Calcium uniporter regulatory subunit MCUb, mitochondrial (MCUb) (Coiled-coil domain-containing protein 109B)	MCUB CCDC109B	Homo sapiens (Human)	336
Q9NWS0	Q9NWS0	reviewed	PIHD1_HUMAN	PIH1 domain-containing protein 1 (Nucleolar protein 17 homolog)	PIH1D1 NOP17	Homo sapiens (Human)	290
Q9NWS8	Q9NWS8	reviewed	RMND1_HUMAN	Required for meiotic nuclear division protein 1 homolog	RMND1 C6orf96	Homo sapiens (Human)	449
Q9NWT1	Q9NWT1	reviewed	PK1IP_HUMAN	p21-activated protein kinase-interacting protein 1 (PAK/PLC-interacting protein 1) (hPIP1) (PAK1-interacting protein 1) (WD repeat-containing protein 84)	PAK1IP1 PIP1 WDR84	Homo sapiens (Human)	392
Q9NWT6	Q9NWT6	reviewed	HIF1N_HUMAN	Hypoxia-inducible factor 1-alpha inhibitor (EC 1.14.11.30) (EC 1.14.11.n4) (Factor inhibiting HIF-1) (FIH-1) (Hypoxia-inducible factor asparagine hydroxylase)	HIF1AN FIH1	Homo sapiens (Human)	349
Q9NWT8	Q9NWT8	reviewed	AKIP_HUMAN	Small ribosomal subunit protein mS38 (28S ribosomal protein S38, mitochondrial) (MRP-S38) (Aurora kinase A-interacting protein) (AURKA-interacting protein)	AURKAIP1 AIP AKIP MRPS38	Homo sapiens (Human)	199
Q9NWU1	Q9NWU1	reviewed	OXSM_HUMAN	3-oxoacyl-[acyl-carrier-protein] synthase, mitochondrial (EC 2.3.1.41) (Beta-ketoacyl-ACP synthase)	OXSM	Homo sapiens (Human)	459
Q9NWU2	Q9NWU2	reviewed	GID8_HUMAN	Glucose-induced degradation protein 8 homolog (Two hybrid-associated protein 1 with RanBPM) (Twa1)	GID8 C20orf11 TWA1	Homo sapiens (Human)	228
Q9NWU5	Q9NWU5	reviewed	RM22_HUMAN	Large ribosomal subunit protein uL22m (39S ribosomal protein L22, mitochondrial) (L22mt) (MRP-L22) (39S ribosomal protein L25, mitochondrial) (L25mt) (MRP-L25)	MRPL22 MRPL25 RPML25 HSPC158	Homo sapiens (Human)	206
Q9NWV4	Q9NWV4	reviewed	CZIB_HUMAN	CXXC motif containing zinc binding protein (UPF0587 protein C1orf123)	CZIB C1orf123	Homo sapiens (Human)	160
Q9NWV8	Q9NWV8	reviewed	BABA1_HUMAN	BRISC and BRCA1-A complex member 1 (Mediator of RAP80 interactions and targeting subunit of 40 kDa) (New component of the BRCA1-A complex)	BABAM1 C19orf62 MERIT40 NBA1 HSPC142	Homo sapiens (Human)	329
Q9NWW5	Q9NWW5	reviewed	CLN6_HUMAN	Ceroid-lipofuscinosis neuronal protein 6 (Protein CLN6)	CLN6	Homo sapiens (Human)	311
Q9NWW6	Q9NWW6	reviewed	NRK1_HUMAN	Nicotinamide riboside kinase 1 (NRK 1) (NmR-K 1) (EC 2.7.1.22) (Nicotinic acid riboside kinase 1) (EC 2.7.1.173) (Ribosylnicotinamide kinase 1) (RNK 1) (Ribosylnicotinic acid kinase 1)	NMRK1 C9orf95 NRK1	Homo sapiens (Human)	199
Q9NWW7	Q9NWW7	reviewed	CB042_HUMAN	Uncharacterized protein C2orf42	C2orf42	Homo sapiens (Human)	574
Q9NWX5	Q9NWX5	reviewed	ASB6_HUMAN	Ankyrin repeat and SOCS box protein 6 (ASB-6)	ASB6	Homo sapiens (Human)	421
Q9NWX6	Q9NWX6	reviewed	THG1_HUMAN	Probable tRNA(His) guanylyltransferase (EC 2.7.7.79) (Induced in high glucose-1) (IHG-1) (Interphase cytoplasmic foci protein 45) (tRNA-histidine guanylyltransferase)	THG1L ICF45	Homo sapiens (Human)	298
Q9NWY4	Q9NWY4	reviewed	HPF1_HUMAN	Histone PARylation factor 1	HPF1 C4orf27	Homo sapiens (Human)	346
Q9NWZ3	Q9NWZ3	reviewed	IRAK4_HUMAN	Interleukin-1 receptor-associated kinase 4 (IRAK-4) (EC 2.7.11.1) (Renal carcinoma antigen NY-REN-64)	IRAK4	Homo sapiens (Human)	460
Q9NWZ5	Q9NWZ5	reviewed	UCKL1_HUMAN	Uridine-cytidine kinase-like 1 (EC 2.7.1.48)	UCKL1 URKL1 F538	Homo sapiens (Human)	548
Q9NWZ8	Q9NWZ8	reviewed	GEMI8_HUMAN	Gem-associated protein 8 (Gemin-8) (Protein FAM51A1)	GEMIN8 FAM51A1	Homo sapiens (Human)	242
Q9NX00	Q9NX00	reviewed	TM160_HUMAN	Transmembrane protein 160	TMEM160	Homo sapiens (Human)	188
Q9NX01	Q9NX01	reviewed	TXN4B_HUMAN	Thioredoxin-like protein 4B (Dim1-like protein)	TXNL4B DIM2 DLP	Homo sapiens (Human)	149
Q9NX04	Q9NX04	reviewed	AIRIM_HUMAN	AFG2-interacting ribosome maturation factor (Ribosome biogenesis protein C1orf109)	AIRIM C1orf109	Homo sapiens (Human)	203
Q9NX05	Q9NX05	reviewed	F120C_HUMAN	Constitutive coactivator of PPAR-gamma-like protein 2 (Protein FAM120C) (Tumor antigen BJ-HCC-21)	FAM120C CXorf17	Homo sapiens (Human)	1096
Q9NX07	Q9NX07	reviewed	TSAP1_HUMAN	tRNA selenocysteine 1-associated protein 1 (SECp43) (tRNA selenocysteine-associated protein 1)	TRNAU1AP SECP43 TRSPAP1	Homo sapiens (Human)	287
Q9NX08	Q9NX08	reviewed	COMD8_HUMAN	COMM domain-containing protein 8	COMMD8 MDS022	Homo sapiens (Human)	183
Q9NX09	Q9NX09	reviewed	DDIT4_HUMAN	DNA damage-inducible transcript 4 protein (HIF-1 responsive protein RTP801) (Protein regulated in development and DNA damage response 1) (REDD-1)	DDIT4 REDD1 RTP801	Homo sapiens (Human)	232
Q9NX14	Q9NX14	reviewed	NDUBB_HUMAN	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 11, mitochondrial (Complex I-ESSS) (CI-ESSS) (NADH-ubiquinone oxidoreductase ESSS subunit) (Neuronal protein 17.3) (Np17.3) (p17.3)	NDUFB11 UNQ111/PRO1064	Homo sapiens (Human)	153
Q9NX18	Q9NX18	reviewed	SDHF2_HUMAN	Succinate dehydrogenase assembly factor 2, mitochondrial (SDH assembly factor 2) (SDHAF2)	SDHAF2 C11orf79 PGL2 SDH5	Homo sapiens (Human)	166
Q9NX20	Q9NX20	reviewed	RM16_HUMAN	Large ribosomal subunit protein uL16m (39S ribosomal protein L16, mitochondrial) (L16mt) (MRP-L16)	MRPL16 PNAS-111	Homo sapiens (Human)	251
Q9NX24	Q9NX24	reviewed	NHP2_HUMAN	H/ACA ribonucleoprotein complex subunit 2 (Nucleolar protein family A member 2) (snoRNP protein NHP2)	NHP2 NOLA2 HSPC286	Homo sapiens (Human)	153
Q9NX38	Q9NX38	reviewed	ABITM_HUMAN	Protein Abitram (Actin-binding transcription modulator) (Protein Simiate)	ABITRAM C9orf6 FAM206A	Homo sapiens (Human)	181
Q9NX40	Q9NX40	reviewed	OCAD1_HUMAN	OCIA domain-containing protein 1 (Ovarian cancer immunoreactive antigen domain containing 1) (Ovarian carcinoma immunoreactive antigen)	OCIAD1 ASRIJ OCIA	Homo sapiens (Human)	245
Q9NX46	Q9NX46	reviewed	ADPRS_HUMAN	ADP-ribosylhydrolase ARH3 (ADP-ribose glycohydrolase ARH3) (ADP-ribosylhydrolase 3) (O-acetyl-ADP-ribose deacetylase ARH3) (EC 3.5.1.-) (Poly(ADP-ribose) glycohydrolase ARH3) (EC 3.2.1.143) ([Protein ADP-ribosylarginine] hydrolase-like protein 2) ([Protein ADP-ribosylserine] hydrolase) (EC 3.2.2.-)	ADPRS ADPRHL2 ARH3	Homo sapiens (Human)	363
Q9NX47	Q9NX47	reviewed	MARH5_HUMAN	E3 ubiquitin-protein ligase MARCHF5 (EC 2.3.2.27) (Membrane-associated RING finger protein 5) (Membrane-associated RING-CH protein V) (MARCH-V) (Mitochondrial ubiquitin ligase) (MITOL) (RING finger protein 153) (RING-type E3 ubiquitin transferase MARCHF5)	MARCHF5 MARCH5 RNF153	Homo sapiens (Human)	278
Q9NX55	Q9NX55	reviewed	HYPK_HUMAN	Huntingtin-interacting protein K (Huntingtin yeast partner K)	HYPK C15orf63 HSPC136	Homo sapiens (Human)	121
Q9NX57	Q9NX57	reviewed	RAB20_HUMAN	Ras-related protein Rab-20 (EC 3.6.5.2)	RAB20	Homo sapiens (Human)	234
Q9NX58	Q9NX58	reviewed	LYAR_HUMAN	Cell growth-regulating nucleolar protein	LYAR PNAS-5	Homo sapiens (Human)	379
